,Movie Name,Cast,Year,Velocity,Ratings Info
0,Thor: Love and Thunder,"Taika Waititi (dir.), Chris Hemsworth, Natalie Portman",(2022),1 (no change) ,"6.8 based on 122,379 user ratings"
1,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",(2022),2 (  1) ,"8.6 based on 241,796 user ratings"
2,The Black Phone,"Scott Derrickson (dir.), Mason Thames, Madeleine McGraw",(2021),3 (  4) ,"7.1 based on 51,292 user ratings"
3,The Sea Beast,"Chris Williams (dir.), Karl Urban, Zaris-Angel Hator",(2022),4 (  26) ,"7.1 based on 17,017 user ratings"
4,Elvis,"Baz Luhrmann (dir.), Tom Hanks, Austin Butler",(2022),5 (  3) ,"7.8 based on 46,445 user ratings"
5,Jurassic World Dominion,"Colin Trevorrow (dir.), Chris Pratt, Bryce Dallas Howard",(2022),6 (  2) ,"5.7 based on 94,244 user ratings"
6,Where the Crawdads Sing,"Olivia Newman (dir.), Daisy Edgar-Jones, Taylor John Smith",(2022),7 (  19) ,"7.1 based on 3,675 user ratings"
7,Minions: The Rise of Gru,"Kyle Balda (dir.), Steve Carell, Pierre Coffin",(2022),8 (  4) ,"6.9 based on 23,610 user ratings"
8,Doctor Strange in the Multiverse of Madness,"Sam Raimi (dir.), Benedict Cumberbatch, Elizabeth Olsen",(2022),9 (  3) ,"7.0 based on 320,012 user ratings"
9,The Gray Man,"Anthony Russo (dir.), Ryan Gosling, Chris Evans",(2022),10 (  35) ,"6.6 based on 19,111 user ratings"
10,Everything Everywhere All at Once,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",(2022),11 (  1) ,"8.2 based on 154,829 user ratings"
11,Girl in the Picture,"Skye Borgman (dir.), Karen Parsley, Charles Engles",(2022),12 (  24) ,"7.3 based on 8,901 user ratings"
12,Top Gun,"Tony Scott (dir.), Tom Cruise, Tim Robbins",(1986),13 (  2) ,"6.9 based on 394,482 user ratings"
13,Persuasion,"Carrie Cracknell (dir.), Richard E. Grant, Henry Golding",(2022),14 (  212) ,"5.6 based on 10,853 user ratings"
14,Sing 2,"Garth Jennings (dir.), Matthew McConaughey, Reese Witherspoon",(2021),15 (  6) ,"7.4 based on 58,039 user ratings"
15,Incantation,"Kevin Ko (dir.), Hsuan-yen Tsai, Mohamed Elgendy",(2022),16 (  154) ,"6.2 based on 5,159 user ratings"
16,Amsterdam,"David O. Russell (dir.), Christian Bale, Anya Taylor-Joy",(2022),17 (  12) ,
17,Lightyear,"Angus MacLane (dir.), Chris Evans, Keke Palmer",(2022),18 (  3) ,"5.4 based on 52,417 user ratings"
18,The Northman,"Robert Eggers (dir.), Alexander Skarsgård, Nicole Kidman",(2022),19 (  6) ,"7.2 based on 145,563 user ratings"
19,Winnie-The-Pooh: Blood and Honey,"Rhys Frake-Waterfield (dir.), Natasha Tosini, Amber Doig-Thorne","(

229)",20 (  229) ,
20,The Batman,"Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz",(2022),21 (  2) ,"7.9 based on 548,716 user ratings"
21,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",(1972),22 (  5) ,"9.2 based on 1,809,084 user ratings"
22,Barbie,"Greta Gerwig (dir.), Ritu Arya, Margot Robbie",(2023),23 (  7) ,
23,Thor: Ragnarok,"Taika Waititi (dir.), Chris Hemsworth, Tom Hiddleston",(2017),24 (  5) ,"7.9 based on 720,510 user ratings"
24,Nope,"Jordan Peele (dir.), Daniel Kaluuya, Keke Palmer",(2022),25 (  1) ,"7.7 based on 5,005 user ratings"
25,Vikram,"Lokesh Kanagaraj (dir.), Kamal Haasan, Vijay Sethupathi",(2022),26 (  84) ,"8.5 based on 36,677 user ratings"
26,The Man from Toronto,"Patrick Hughes (dir.), Kevin Hart, Woody Harrelson",(2022),27 (  14) ,"5.8 based on 30,349 user ratings"
27,Bodies Bodies Bodies,"Halina Reijn (dir.), Amandla Stenberg, Maria Bakalova",(2022),28 (  752) ,4.8 based on 318 user ratings
28,Zombies 3,"Paul Hoen (dir.), Meg Donnelly, Milo Manheim",(2022),29 (  296) ,"5.2 based on 1,141 user ratings"
29,Last Night in Soho,"Edgar Wright (dir.), Thomasin McKenzie, Anya Taylor-Joy",(2021),30 (  11) ,"7.1 based on 117,657 user ratings"
30,The Princess,"Le-Van Kiet (dir.), Joey King, Olga Kurylenko",(2022),31 (  21) ,"5.5 based on 7,743 user ratings"
31,Spider-Man: No Way Home,"Jon Watts (dir.), Tom Holland, Zendaya",(2021),32 (  1) ,"8.3 based on 684,748 user ratings"
32,Hustle,"Jeremiah Zagar (dir.), Adam Sandler, Queen Latifah",(2022),33 (  15) ,"7.4 based on 88,330 user ratings"
